Rxn_RK,Name from iJR904,Name in xls file,Name_checked,Rxn_FF,LB_FF,LB_AP,LB_RK,LB_ok,,UB_FF,UB_AP,UB_RK,UB_ok,,name_chek,double check,
EX_no2(e),EX_no2(e),,EX_no2(e),EX_no2_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_no3(e),EX_no3(e),,EX_no3(e),EX_no3_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,EX_o2(e),EX_o2(e),EX_o2(e),EX_o2_e,-20,0,Varied,,,0,0,Varied,,,c,c,cc
EX_ocdca(e),EX_ocdca(e),,EX_ocdca(e),EX_ocdca_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_orn(e),EX_orn(e),,EX_orn(e),EX_orn_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_phe-L(e),EX_phe-L(e),,EX_phe-L(e),EX_phe__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_pi(e),EX_pi(e),,EX_pi(e),EX_pi_e,-999999,-1000,-1.00E+30,,,999999,999999,1.00E+30,,,c,,cc
EX_pnto-R(e),EX_pnto-R(e),,EX_pnto-R(e),EX_pnto__R_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,EX_pppn(e),EX_pppn(e),EX_pppn(e),EX_pppn_e,0,0,1.00E+30,,,999999,999999,1.00E+30,,,c,c,cc
EX_pro-L(e),EX_pro-L(e),,EX_pro-L(e),EX_pro__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_ptrc(e),EX_ptrc(e),,EX_ptrc(e),EX_ptrc_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_pyr(e),EX_pyr(e),,EX_pyr(e),EX_pyr_e,0,0,Varied,,,999999,999999,Varied,,,c,,cc
EX_rib-D(e),EX_rib-D(e),,EX_rib-D(e),EX_rib__D_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_rmn(e),EX_rmn(e),,EX_rmn(e),EX_rmn_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_sbt-D(e),EX_sbt-D(e),,EX_sbt-D(e),EX_sbt__D_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_ser-D(e),EX_ser-D(e),,EX_ser-D(e),EX_ser__D_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,EX_ser-L(e),EX_ser-L(e),EX_ser-L(e),EX_ser__L_e,0,0,0,,,999999,999999,1E+30,,,c,c,cc
EX_so4(e),EX_so4(e),,EX_so4(e),EX_so4_e,-999999,-1000,-1.00E+30,,,999999,999999,1.00E+30,,,c,,cc
EX_spmd(e),EX_spmd(e),,EX_spmd(e),EX_spmd_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_succ(e),EX_succ(e),,EX_succ(e),EX_succ_e,0,0,Varied,,,999999,1000,Varied,,,c,,cc
EX_sucr(e),EX_sucr(e),,EX_sucr(e),EX_sucr_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_tartr-L(e),EX_tartr-L(e),,EX_tartr-L(e),EX_tartr__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_taur(e),EX_taur(e),,EX_taur(e),EX_taur_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_thm(e),EX_thm(e),,EX_thm(e),EX_thm_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_thr-L(e),EX_thr-L(e),,EX_thr-L(e),EX_thr__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_thymd(e),EX_thymd(e),,EX_thymd(e),EX_thymd_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_tma(e),EX_tma(e),,EX_tma(e),EX_tma_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_tmao(e),EX_tmao(e),,EX_tmao(e),EX_tmao_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_tre(e),EX_tre(e),,EX_tre(e),EX_tre_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_trp-L(e),EX_trp-L(e),,EX_trp-L(e),EX_trp__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_tsul(e),EX_tsul(e),,EX_tsul(e),EX_tsul_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_ttdca(e),EX_ttdca(e),,EX_ttdca(e),EX_ttdca_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_tyr-L(e),EX_tyr-L(e),,EX_tyr-L(e),EX_tyr__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_ura(e),EX_ura(e),,EX_ura(e),EX_ura_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_urea(e),EX_urea(e),,EX_urea(e),EX_urea_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,EX_uri(e),EX_uri(e),EX_uri(e),EX_uri_e,0,0,0,,,999999,999999,1E+30,,,c,c,cc
EX_val-L(e),EX_val-L(e),,EX_val-L(e),EX_val__L_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,EX_xan(e),EX_xan(e),EX_xan(e),EX_xan_e,0,0,0,,,999999,999999,1.00E+30,,,c,c,cc
EX_xtsn(e),EX_xtsn(e),,EX_xtsn(e),EX_xtsn_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
EX_xyl-D(e),EX_xyl-D(e),,EX_xyl-D(e),EX_xyl__D_e,0,0,0,,,999999,999999,1.00E+30,,,c,,cc
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
